,service_date,day_type,bus,rail_boardings,total_rides
7212,2020-09-30,W,320186,169305,489491
7213,2020-10-01,W,336911,173387,510298
7214,2020-10-02,W,349664,182413,532077
7215,2020-10-03,A,241921,133772,375693
7216,2020-10-04,U,179954,100387,280341
7217,2020-10-05,W,326242,164517,490759
7218,2020-10-06,W,332474,168456,500930
7219,2020-10-07,W,333595,171757,505352
7220,2020-10-08,W,334365,174469,508834
7221,2020-10-09,W,335842,183544,519386
7222,2020-10-10,A,248858,137846,386704
7223,2020-10-11,U,181194,103244,284438
7224,2020-10-12,W,271925,145635,417560
7225,2020-10-13,W,334145,170998,505143
7226,2020-10-14,W,334911,172419,507330
7227,2020-10-15,W,323424,172888,496312
7228,2020-10-16,W,324544,178507,503051
7229,2020-10-17,A,231563,134238,365801
7230,2020-10-18,U,150496,92227,242723
7231,2020-10-19,W,300842,158006,458848
7232,2020-10-20,W,310091,163811,473902
7233,2020-10-21,W,321256,167872,489128
7234,2020-10-22,W,318012,168824,486836
7235,2020-10-23,W,288787,166459,455246
7236,2020-10-24,A,239353,132006,371359
7237,2020-10-25,U,160807,94731,255538
7238,2020-10-26,W,294204,155238,449442
7239,2020-10-27,W,299100,158973,458073
7240,2020-10-28,W,318538,165838,484376
7241,2020-10-29,W,304342,165360,469702
7242,2020-10-30,W,334559,172445,507004
7243,2020-10-31,A,224885,120080,344965
7244,2020-11-01,U,149896,85934,235830
7245,2020-11-02,W,301558,154284,455842
7246,2020-11-03,W,317723,149741,467464
7247,2020-11-04,W,306904,151147,458051
7248,2020-11-05,W,311836,158434,470270
7249,2020-11-06,W,318896,167110,486006
7250,2020-11-07,A,226237,126890,353127
7251,2020-11-08,U,166538,94199,260737
7252,2020-11-09,W,308098,157126,465224
7253,2020-11-10,W,298502,153003,451505
7254,2020-11-11,W,286362,147595,433957
7255,2020-11-12,W,305497,158496,463993
7256,2020-11-13,W,305354,159535,464889
7257,2020-11-14,A,206691,104500,311191
7258,2020-11-15,U,136434,75619,212053
7259,2020-11-16,W,282290,140661,422951
7260,2020-11-17,W,279757,140971,420728
7261,2020-11-18,W,285245,143331,428576
7262,2020-11-19,W,292548,148286,440834
7263,2020-11-20,W,297292,149612,446904
7264,2020-11-21,A,206379,100672,307051
7265,2020-11-22,U,146562,74926,221488
7266,2020-11-23,W,283365,138635,422000
7267,2020-11-24,W,264500,135119,399619
7268,2020-11-25,W,267787,131704,399491
7269,2020-11-26,U,119470,56839,176309
7270,2020-11-27,W,221878,106692,328570
7271,2020-11-28,A,198860,97141,296001
7272,2020-11-29,U,145682,76276,221958
7273,2020-11-30,W,255801,130426,386227
7274,2020-12-01,W,290906,138364,429270
7275,2020-12-02,W,289930,137598,427528
7276,2020-12-03,W,301357,142080,443437
7277,2020-12-04,W,297160,144348,441508
7278,2020-12-05,A,206508,100869,307377
7279,2020-12-06,U,144322,74099,218421
7280,2020-12-07,W,272363,133537,405900
7281,2020-12-08,W,277139,137145,414284
7282,2020-12-09,W,293699,143390,437089
7283,2020-12-10,W,297368,144459,441827
7284,2020-12-11,W,277727,138386,416113
7285,2020-12-12,A,181545,92521,274066
7286,2020-12-13,U,150344,78380,228724
7287,2020-12-14,W,269583,135394,404977
7288,2020-12-15,W,273075,137120,410195
7289,2020-12-16,W,269375,138422,407797
7290,2020-12-17,W,273791,139375,413166
7291,2020-12-18,W,284841,144568,429409
7292,2020-12-19,A,201406,101970,303376
7293,2020-12-20,U,157805,80063,237868
7294,2020-12-21,W,280892,137696,418588
7295,2020-12-22,W,289292,140759,430051
7296,2020-12-23,W,283137,138325,421462
7297,2020-12-24,W,201261,92528,293789
7298,2020-12-25,U,80783,40861,121644
7299,2020-12-26,A,170294,81793,252087
7300,2020-12-27,U,139350,72363,211713
7301,2020-12-28,W,259552,125317,384869
7302,2020-12-29,W,253437,128558,381995
7303,2020-12-30,W,244219,126447,370666
7304,2020-12-31,W,254787,114338,369125
7305,2021-01-01,U,114115,62077,176192
7306,2021-01-02,A,186877,91034,277911
7307,2021-01-03,U,140440,72391,212831
7308,2021-01-04,W,282862,132124,414986
7309,2021-01-05,W,281724,134514,416238
7310,2021-01-06,W,278317,136069,414386
7311,2021-01-07,W,270340,135092,405432
7312,2021-01-08,W,272827,137181,410008
7313,2021-01-09,A,205370,101095,306465
7314,2021-01-10,U,145412,71867,217279
7315,2021-01-11,W,262355,129615,391970
7316,2021-01-12,W,277882,136866,414748
7317,2021-01-13,W,282529,140007,422536
7318,2021-01-14,W,275747,137634,413381
7319,2021-01-15,W,277928,139988,417916
7320,2021-01-16,A,193303,96530,289833
7321,2021-01-17,U,143923,72570,216493
7322,2021-01-18,W,227108,113727,340835
7323,2021-01-19,W,270497,137227,407724
7324,2021-01-20,W,257638,131313,388951
7325,2021-01-21,W,287899,144085,431984
7326,2021-01-22,W,264517,138811,403328
7327,2021-01-23,A,190988,96503,287491
7328,2021-01-24,U,141538,71996,213534
7329,2021-01-25,W,265782,135618,401400
7330,2021-01-26,W,233767,127803,361570
7331,2021-01-27,W,262570,138610,401180
7332,2021-01-28,W,265152,140259,405411
7333,2021-01-29,W,285439,148439,433878
7334,2021-01-30,A,192267,102119,294386
7335,2021-01-31,U,119669,75697,195366
7336,2021-02-01,W,285366,145356,430722
7337,2021-02-02,W,288369,146050,434419
7338,2021-02-03,W,315672,152303,467975
7339,2021-02-04,W,278515,147593,426108
7340,2021-02-05,W,250369,139613,389982
7341,2021-02-06,A,161437,89065,250502
7342,2021-02-07,U,110637,64459,175096
7343,2021-02-08,W,242899,128998,371897
7344,2021-02-09,W,260772,137064,397836
7345,2021-02-10,W,267271,141210,408481
7346,2021-02-11,W,269772,146284,416056
7347,2021-02-12,W,280767,149261,430028
7348,2021-02-13,A,186257,106030,292287
7349,2021-02-14,U,121070,73603,194673
7350,2021-02-15,W,196912,118258,315170
7351,2021-02-16,W,206197,114830,321027
7352,2021-02-17,W,278930,149828,428758
7353,2021-02-18,W,283168,155250,438418
7354,2021-02-19,W,287852,156832,444684
7355,2021-02-20,A,192157,112011,304168
7356,2021-02-21,U,146116,81211,227327
7357,2021-02-22,W,280331,146573,426904
7358,2021-02-23,W,308822,157020,465842
7359,2021-02-24,W,307300,156793,464093
7360,2021-02-25,W,300304,157867,458171
7361,2021-02-26,W,309217,164565,473782
7362,2021-02-27,A,232432,127246,359678
7363,2021-02-28,U,158200,87008,245208
7364,2021-03-01,W,309106,149826,458932
7365,2021-03-02,W,308998,156140,465138
7366,2021-03-03,W,333410,163566,496976
7367,2021-03-04,W,309302,159889,469191
7368,2021-03-05,W,317629,167771,485400
7369,2021-03-06,A,228890,124851,353741
7370,2021-03-07,U,173071,95906,268977
7371,2021-03-08,W,317267,159512,476779
7372,2021-03-09,W,327340,164868,492208
7373,2021-03-10,W,312074,161736,473810
7374,2021-03-11,W,318121,165057,483178
7375,2021-03-12,W,323199,172476,495675
7376,2021-03-13,A,247738,148004,395742
7377,2021-03-14,U,163299,97387,260686
7378,2021-03-15,W,265818,144990,410808
7379,2021-03-16,W,300583,158171,458754
7380,2021-03-17,W,310656,165207,475863
7381,2021-03-18,W,293346,160989,454335
7382,2021-03-19,W,330666,178106,508772
7383,2021-03-20,A,246067,141702,387769
7384,2021-03-21,U,187953,111138,299091
7385,2021-03-22,W,319333,164624,483957
7386,2021-03-23,W,303876,159635,463511
7387,2021-03-24,W,320929,168422,489351
7388,2021-03-25,W,316190,168278,484468
7389,2021-03-26,W,321386,175255,496641
7390,2021-03-27,A,235940,137705,373645
7391,2021-03-28,U,171037,101679,272716
7392,2021-03-29,W,316586,165113,481699
7393,2021-03-30,W,324218,170588,494806
7394,2021-03-31,W,313521,168955,482476
7395,2021-04-01,W,330414,178267,508681
7396,2021-04-02,W,329144,180602,509746
7397,2021-04-03,A,258780,150786,409566
7398,2021-04-04,U,178580,105039,283619
7399,2021-04-05,W,313426,166404,479830
7400,2021-04-06,W,338664,181795,520459
7401,2021-04-07,W,340512,181069,521581
7402,2021-04-08,W,302569,171140,473709
7403,2021-04-09,W,330542,186985,517527
7404,2021-04-10,A,212976,129831,342807
7405,2021-04-11,U,177686,105758,283444
7406,2021-04-12,W,326192,170290,496482
7407,2021-04-13,W,335197,179135,514332
7408,2021-04-14,W,320689,173838,494527
7409,2021-04-15,W,321850,179206,501056
7410,2021-04-16,W,334144,199086,533230
7411,2021-04-17,A,237265,155208,392473
7412,2021-04-18,U,177249,112596,289845
7413,2021-04-19,W,307407,165608,473015
7414,2021-04-20,W,310048,170031,480079
7415,2021-04-21,W,313705,173325,487030
7416,2021-04-22,W,336610,187886,524496
7417,2021-04-23,W,341811,203880,545691
7418,2021-04-24,A,234939,149135,384074
7419,2021-04-25,U,175558,113050,288608
7420,2021-04-26,W,337128,176283,513411
7421,2021-04-27,W,352388,193712,546100
7422,2021-04-28,W,303689,172569,476258
7423,2021-04-29,W,327089,184416,511505
7424,2021-04-30,W,358329,207166,565495
7425,2021-05-01,A,266141,170503,436644
7426,2021-05-02,U,195776,126355,322131
7427,2021-05-03,W,334667,174120,508787
7428,2021-05-04,W,330540,183621,514161
7429,2021-05-05,W,346837,193605,540442
7430,2021-05-06,W,322453,187545,509998
7431,2021-05-07,W,351011,212194,563205
7432,2021-05-08,A,255252,161702,416954
7433,2021-05-09,U,158199,108981,267180
7434,2021-05-10,W,317899,175820,493719
7435,2021-05-11,W,338523,189589,528112
7436,2021-05-12,W,337223,193841,531064
7437,2021-05-13,W,347914,205589,553503
7438,2021-05-14,W,353950,222830,576780
7439,2021-05-15,A,234951,166559,401510
7440,2021-05-16,U,195939,137410,333349
7441,2021-05-17,W,333150,190203,523353
7442,2021-05-18,W,338267,195305,533572
7443,2021-05-19,W,331674,198718,530392
7444,2021-05-20,W,350455,215181,565636
7445,2021-05-21,W,353721,226276,579997
7446,2021-05-22,A,265066,188124,453190
7447,2021-05-23,U,184730,129720,314450
7448,2021-05-24,W,338290,196524,534814
7449,2021-05-25,W,345371,205679,551050
7450,2021-05-26,W,349319,208470,557789
7451,2021-05-27,W,334991,208682,543673
7452,2021-05-28,W,313635,217115,530750
7453,2021-05-29,A,266944,208819,475763
7454,2021-05-30,U,209937,177745,387682
7455,2021-05-31,U,194901,147880,342781
7456,2021-06-01,W,349451,221402,570853
7457,2021-06-02,W,356620,222827,579447
7458,2021-06-03,W,382161,231398,613559
7459,2021-06-04,W,374475,244454,618929
7460,2021-06-05,A,278036,199123,477159
7461,2021-06-06,U,204309,148509,352818
7462,2021-06-07,W,343982,202767,546749
7463,2021-06-08,W,366854,222841,589695
7464,2021-06-09,W,367755,231622,599377
7465,2021-06-10,W,374697,246542,621239
7466,2021-06-11,W,375533,271425,646958
7467,2021-06-12,A,265224,224185,489409
7468,2021-06-13,U,219260,184714,403974
7469,2021-06-14,W,362267,227377,589644
7470,2021-06-15,W,372531,238872,611403
7471,2021-06-16,W,374362,242785,617147
7472,2021-06-17,W,372186,247900,620086
7473,2021-06-18,W,362823,272803,635626
7474,2021-06-19,A,276925,238075,515000
7475,2021-06-20,U,194025,158875,352900
7476,2021-06-21,W,349781,237699,587480
7477,2021-06-22,W,376511,256084,632595
7478,2021-06-23,W,362682,239858,602540
7479,2021-06-24,W,345186,240440,585626
7480,2021-06-25,W,343853,251904,595757
7481,2021-06-26,A,232678,190791,423469
7482,2021-06-27,U,219887,176898,396785
7483,2021-06-28,W,337566,218776,556342
7484,2021-06-29,W,346254,229881,576135
7485,2021-06-30,W,356837,237763,594600
7486,2021-07-01,W,397781,257789,655570
7487,2021-07-02,W,389185,254956,644141
7488,2021-07-03,A,292341,215230,507571
7489,2021-07-04,U,214496,167760,382256
7490,2021-07-05,U,237811,178415,416226
7491,2021-07-06,W,378230,255296,633526
7492,2021-07-07,W,371601,261796,633397
7493,2021-07-08,W,375578,276819,652397
7494,2021-07-09,W,389894,302893,692787
7495,2021-07-10,A,275612,238903,514515
7496,2021-07-11,U,189913,165360,355273
7497,2021-07-12,W,363268,237710,600978
7498,2021-07-13,W,375230,250575,625805
7499,2021-07-14,W,396163,262113,658276
7500,2021-07-15,W,374072,261351,635423
7501,2021-07-16,W,379552,280527,660079
7502,2021-07-17,A,296714,245066,541780
7503,2021-07-18,U,226558,191007,417565
7504,2021-07-19,W,377772,248181,625953
7505,2021-07-20,W,390578,264471,655049
7506,2021-07-21,W,392548,274123,666671
7507,2021-07-22,W,390531,275892,666423
7508,2021-07-23,W,386289,298869,685158
7509,2021-07-24,A,280927,250014,530941
7510,2021-07-25,U,221645,198799,420444
7511,2021-07-26,W,373206,260296,633502
7512,2021-07-27,W,387327,279049,666376
7513,2021-07-28,W,390425,298392,688817
7514,2021-07-29,W,394751,362106,756857
7515,2021-07-30,W,402364,362949,765313
7516,2021-07-31,A,292772,310759,603531
7517,2021-08-01,U,223161,244404,467565
7518,2021-08-02,W,374987,259408,634395
7519,2021-08-03,W,407869,267547,675416
7520,2021-08-04,W,401665,271469,673134
7521,2021-08-05,W,401248,283716,684964
7522,2021-08-06,W,387894,313936,701830
7523,2021-08-07,A,301542,275050,576592
7524,2021-08-08,U,223653,187344,410997
7525,2021-08-09,W,334547,240520,575067
7526,2021-08-10,W,372961,264354,637315
7527,2021-08-11,W,364185,258741,622926
7528,2021-08-12,W,381061,280760,661821
7529,2021-08-13,W,396567,277082,673649
7530,2021-08-14,A,294345,252710,547055
7531,2021-08-15,U,221156,205673,426829
7532,2021-08-16,W,371748,246824,618572
7533,2021-08-17,W,385106,259308,644414
7534,2021-08-18,W,387316,265679,652995
7535,2021-08-19,W,390171,274749,664920
7536,2021-08-20,W,399149,298535,697684
7537,2021-08-21,A,282205,248705,530910
7538,2021-08-22,U,231270,202393,433663
7539,2021-08-23,W,389873,263283,653156
7540,2021-08-24,W,382748,259641,642389
7541,2021-08-25,W,398464,278830,677294
7542,2021-08-26,W,417416,287640,705056
7543,2021-08-27,W,411406,302286,713692
7544,2021-08-28,A,290939,232278,523217
7545,2021-08-29,U,215493,180030,395523
7546,2021-08-30,W,452128,283312,735440
7547,2021-08-31,W,457408,294988,752396
7548,2021-09-01,W,483883,302972,786855
7549,2021-09-02,W,466988,316474,783462
7550,2021-09-03,W,460822,332962,793784
7551,2021-09-04,A,288744,249857,538601
7552,2021-09-05,U,238982,232104,471086
7553,2021-09-06,U,231171,190360,421531
7554,2021-09-07,W,445989,291803,737792
7555,2021-09-08,W,480111,320091,800202
7556,2021-09-09,W,471953,326271,798224
7557,2021-09-10,W,469400,355788,825188
7558,2021-09-11,A,292316,276714,569030
7559,2021-09-12,U,216327,206582,422909
7560,2021-09-13,W,450527,296554,747081
7561,2021-09-14,W,468812,311965,780777
7562,2021-09-15,W,472623,329295,801918
7563,2021-09-16,W,467659,365090,832749
7564,2021-09-17,W,469512,377373,846885
7565,2021-09-18,A,297188,295961,593149
7566,2021-09-19,U,221743,220835,442578
7567,2021-09-20,W,443252,298947,742199
7568,2021-09-21,W,452211,319330,771541
7569,2021-09-22,W,450883,322522,773405
7570,2021-09-23,W,464140,327671,791811
7571,2021-09-24,W,463710,365392,829102
7572,2021-09-25,A,300821,296621,597442
7573,2021-09-26,U,214958,195380,410338
7574,2021-09-27,W,458134,298532,756666
7575,2021-09-28,W,474767,315354,790121
7576,2021-09-29,W,471319,323001,794320
7577,2021-09-30,W,469820,326450,796270
7578,2021-10-01,W,486451,343048,829499
7579,2021-10-02,A,283289,248678,531967
7580,2021-10-03,U,209009,188875,397884
7581,2021-10-04,W,453108,297717,750825
7582,2021-10-05,W,469691,317319,787010
7583,2021-10-06,W,474666,317494,792160
7584,2021-10-07,W,447936,323569,771505
7585,2021-10-08,W,461163,348740,809903
7586,2021-10-09,A,301635,281790,583425
7587,2021-10-10,U,194232,312750,506982
7588,2021-10-11,W,335704,269043,604747
7589,2021-10-12,W,469702,337547,807249
7590,2021-10-13,W,456836,323735,780571
7591,2021-10-14,W,466987,336464,803451
7592,2021-10-15,W,456194,338278,794472
7593,2021-10-16,A,301890,266017,567907
7594,2021-10-17,U,219929,196386,416315
7595,2021-10-18,W,447658,303246,750904
7596,2021-10-19,W,467179,323286,790465
7597,2021-10-20,W,470815,323794,794609
7598,2021-10-21,W,449160,330258,779418
7599,2021-10-22,W,446072,328904,774976
7600,2021-10-23,A,288871,244421,533292
7601,2021-10-24,U,171424,144992,316416
7602,2021-10-25,W,384314,270031,654345
7603,2021-10-26,W,476997,320974,797971
7604,2021-10-27,W,475784,327121,802905
7605,2021-10-28,W,447442,328865,776307
7606,2021-10-29,W,407815,307878,715693
7607,2021-10-30,A,280283,244786,525069
7608,2021-10-31,U,203393,183268,386661
7609,2021-11-01,W,452937,300996,753933
7610,2021-11-02,W,463908,319122,783030
7611,2021-11-03,W,481029,327770,808799
7612,2021-11-04,W,463508,333562,797070
7613,2021-11-05,W,403870,312819,716689
7614,2021-11-06,A,279147,235533,514680
7615,2021-11-07,U,211114,177817,388931
7616,2021-11-08,W,458387,305403,763790
7617,2021-11-09,W,465479,324645,790124
7618,2021-11-10,W,474682,332506,807188
7619,2021-11-11,W,349696,286823,636519
7620,2021-11-12,W,381722,302454,684176
7621,2021-11-13,A,263401,221836,485237
7622,2021-11-14,U,191694,153282,344976
7623,2021-11-15,W,427781,292876,720657
7624,2021-11-16,W,463846,321135,784981
7625,2021-11-17,W,436216,311717,747933
7626,2021-11-18,W,413008,315161,728169
7627,2021-11-19,W,443247,337202,780449
7628,2021-11-20,A,271655,276136,547791
7629,2021-11-21,U,214017,179537,393554
7630,2021-11-22,W,428156,288075,716231
7631,2021-11-23,W,437577,300261,737838
7632,2021-11-24,W,359261,257882,617143
7633,2021-11-25,U,136680,103108,239788
7634,2021-11-26,W,257700,189694,447394
7635,2021-11-27,A,237839,187065,424904
7636,2021-11-28,U,184817,147830,332647
7637,2021-11-29,W,421322,276090,697412
7638,2021-11-30,W,450230,302349,752579
7639,2021-12-01,W,464613,309075,773688
7640,2021-12-02,W,466625,323958,790583
7641,2021-12-03,W,460247,320326,780573
7642,2021-12-04,A,282720,237153,519873
7643,2021-12-05,U,175680,150682,326362
7644,2021-12-06,W,419783,278439,698222
7645,2021-12-07,W,412108,287065,699173
7646,2021-12-08,W,440298,300242,740540
7647,2021-12-09,W,441609,310636,752245
7648,2021-12-10,W,425279,297443,722722
7649,2021-12-11,A,253954,221509,475463
7650,2021-12-12,U,200373,165296,365669
7651,2021-12-13,W,425654,272016,697670
7652,2021-12-14,W,443484,293750,737234
7653,2021-12-15,W,441500,299691,741191
7654,2021-12-16,W,424823,297427,722250
7655,2021-12-17,W,405415,282060,687475
7656,2021-12-18,A,243767,196349,440116
7657,2021-12-19,U,193554,150673,344227
7658,2021-12-20,W,346355,235596,581951
7659,2021-12-21,W,343757,224928,568685
7660,2021-12-22,W,314359,209334,523693
7661,2021-12-23,W,311895,192858,504753
7662,2021-12-24,U,215369,118922,334291
7663,2021-12-25,A,101622,63575,165197
7664,2021-12-26,U,160349,106278,266627
7665,2021-12-27,W,276748,170801,447549
7666,2021-12-28,W,267102,174336,441438
7667,2021-12-29,W,294413,191745,486158
7668,2021-12-30,W,295024,194851,489875
7669,2021-12-31,U,227449,163183,390632
7670,2022-01-01,A,115581,116473,232054
7671,2022-01-02,U,141100,114070,255170
7672,2022-01-03,W,308893,184727,493620
7673,2022-01-04,W,343163,202963,546126
7674,2022-01-05,W,261752,177105,438857
7675,2022-01-06,W,256983,175465,432448
7676,2022-01-07,W,246042,172216,418258
7677,2022-01-08,A,190569,133844,324413
7678,2022-01-09,U,139413,102330,241743
7679,2022-01-10,W,273785,175964,449749
7680,2022-01-11,W,299534,190644,490178
7681,2022-01-12,W,364308,214250,578558
7682,2022-01-13,W,364235,218508,582743
7683,2022-01-14,W,355305,224098,579403
7684,2022-01-15,A,201975,153357,355332
7685,2022-01-16,U,157849,117493,275342
7686,2022-01-17,W,247901,160202,408103
7687,2022-01-18,W,394532,239770,634302
7688,2022-01-19,W,373531,235997,609528
7689,2022-01-20,W,343001,227670,570671
7690,2022-01-21,W,360918,227754,588672
7691,2022-01-22,A,213615,153452,367067
7692,2022-01-23,U,149802,112997,262799
7693,2022-01-24,W,352311,235351,587662
7694,2022-01-25,W,352155,234112,586267
7695,2022-01-26,W,313683,215518,529201
7696,2022-01-27,W,388880,254620,643500
7697,2022-01-28,W,310477,229809,540286
7698,2022-01-29,A,216590,160644,377234
7699,2022-01-30,U,163483,115445,278928
7700,2022-01-31,W,405219,253283,658502
7701,2022-02-01,W,438309,273732,712041
7702,2022-02-02,W,252363,189573,441936
7703,2022-02-03,W,342011,232018,574029
7704,2022-02-04,W,391793,263572,655365
7705,2022-02-05,A,222874,169731,392605
7706,2022-02-06,U,179811,125211,305022
7707,2022-02-07,W,405768,257867,663635
7708,2022-02-08,W,431086,280312,711398
7709,2022-02-09,W,433494,283336,716830
7710,2022-02-10,W,426111,284248,710359
7711,2022-02-11,W,413489,269373,682862
7712,2022-02-12,A,236977,177109,414086
7713,2022-02-13,U,175728,133282,309010
7714,2022-02-14,W,400492,260703,661195
7715,2022-02-15,W,434683,282736,717419
7716,2022-02-16,W,436057,286506,722563
7717,2022-02-17,W,365062,260175,625237
7718,2022-02-18,W,383850,268927,652777
7719,2022-02-19,A,228190,179991,408181
7720,2022-02-20,U,193971,146532,340503
7721,2022-02-21,W,330376,219366,549742
7722,2022-02-22,W,402852,275702,678554
7723,2022-02-23,W,434639,288569,723208
7724,2022-02-24,W,417551,290246,707797
7725,2022-02-25,W,411882,278287,690169
7726,2022-02-26,A,260161,190557,450718
7727,2022-02-27,U,197978,139377,337355
7728,2022-02-28,W,437269,272433,709702
7729,2022-03-01,W,471547,297951,769498
7730,2022-03-02,W,461679,304639,766318
7731,2022-03-03,W,450905,301344,752249
7732,2022-03-04,W,437164,288975,726139
7733,2022-03-05,A,291281,221714,512995
7734,2022-03-06,U,194300,141976,336276
7735,2022-03-07,W,399383,261592,660975
7736,2022-03-08,W,464441,303631,768072
7737,2022-03-09,W,466984,310336,777320
7738,2022-03-10,W,444721,310435,755156
7739,2022-03-11,W,422764,294476,717240
7740,2022-03-12,A,247872,287526,535398
7741,2022-03-13,U,200879,168821,369700
7742,2022-03-14,W,448558,294168,742726
7743,2022-03-15,W,463215,322609,785824
7744,2022-03-16,W,479823,333597,813420
7745,2022-03-17,W,463068,336933,800001
7746,2022-03-18,W,404540,292739,697279
7747,2022-03-19,A,250839,203842,454681
7748,2022-03-20,U,220280,183597,403877
7749,2022-03-21,W,459452,286077,745529
7750,2022-03-22,W,432916,290803,723719
7751,2022-03-23,W,411053,285528,696581
7752,2022-03-24,W,452116,279960,732076
7753,2022-03-25,W,431829,290569,722398
7754,2022-03-26,A,242199,191025,433224
7755,2022-03-27,U,193217,147865,341082
7756,2022-03-28,W,443113,283316,726429
7757,2022-03-29,W,459127,310432,769559
7758,2022-03-30,W,425844,299471,725315
7759,2022-03-31,W,446918,313624,760542
7760,2022-04-01,W,484903,314610,799513
7761,2022-04-02,A,264044,194383,458427
7762,2022-04-03,U,218901,153875,372776
7763,2022-04-04,W,457452,291019,748471
7764,2022-04-05,W,482775,326164,808939
7765,2022-04-06,W,470573,327753,798326
7766,2022-04-07,W,468788,346853,815641
7767,2022-04-08,W,398017,301320,699337
7768,2022-04-09,A,283129,232566,515695
7769,2022-04-10,U,221977,184272,406249
7770,2022-04-11,W,388543,276040,664583
7771,2022-04-12,W,426444,323042,749486
7772,2022-04-13,W,375870,290641,666511
7773,2022-04-14,W,408379,316347,724726
7774,2022-04-15,W,367610,276605,644215
7775,2022-04-16,A,274093,216395,490488
7776,2022-04-17,U,183837,139738,323575
7777,2022-04-18,W,416359,279342,695701
7778,2022-04-19,W,461501,324667,786168
7779,2022-04-20,W,453943,322677,776620
7780,2022-04-21,W,455139,339779,794918
7781,2022-04-22,W,414144,295319,709463
7782,2022-04-23,A,312128,278763,590891
7783,2022-04-24,U,192744,162462,355206
7784,2022-04-25,W,454532,293934,748466
7785,2022-04-26,W,476474,323321,799795
7786,2022-04-27,W,473316,325530,798846
7787,2022-04-28,W,461751,329024,790775
7788,2022-04-29,W,472802,324138,796940
7789,2022-04-30,A,260440,208693,469133
7790,2022-05-01,U,209565,167306,376871
7791,2022-05-02,W,456676,288292,744968
7792,2022-05-03,W,427088,304189,731277
7793,2022-05-04,W,500429,344233,844662
7794,2022-05-05,W,464544,329241,793785
7795,2022-05-06,W,429700,298387,728087
7796,2022-05-07,A,308573,262869,571442
7797,2022-05-08,U,204641,167467,372108
7798,2022-05-09,W,456324,296458,752782
7799,2022-05-10,W,487603,334899,822502
7800,2022-05-11,W,481802,332548,814350
7801,2022-05-12,W,475308,345676,820984
7802,2022-05-13,W,470223,332657,802880
7803,2022-05-14,A,303044,249361,552405
7804,2022-05-15,U,210931,171982,382913
7805,2022-05-16,W,460986,304494,765480
7806,2022-05-17,W,479630,337079,816709
7807,2022-05-18,W,452731,322841,775572
7808,2022-05-19,W,486489,351429,837918
7809,2022-05-20,W,458078,321127,779205
7810,2022-05-21,A,258763,218972,477735
7811,2022-05-22,U,221756,193002,414758
7812,2022-05-23,W,456515,297901,754416
7813,2022-05-24,W,484351,336010,820361
7814,2022-05-25,W,461780,319883,781663
7815,2022-05-26,W,467853,332069,799922
7816,2022-05-27,W,435553,299737,735290
7817,2022-05-28,A,299533,280228,579761
7818,2022-05-29,U,239199,246793,485992
7819,2022-05-30,U,235865,210421,446286
7820,2022-05-31,W,468550,326376,794926
7821,2022-06-01,W,496766,346924,843690
7822,2022-06-02,W,492400,355544,847944
7823,2022-06-03,W,494862,353934,848796
7824,2022-06-04,A,298993,261915,560908
7825,2022-06-05,U,230730,216530,447260
7826,2022-06-06,W,437910,291922,729832
7827,2022-06-07,W,492774,348945,841719
7828,2022-06-08,W,454093,328980,783073
7829,2022-06-09,W,488146,359630,847776
7830,2022-06-10,W,450488,327910,778398
7831,2022-06-11,A,311911,264509,576420
7832,2022-06-12,U,224348,193587,417935
7833,2022-06-13,W,433682,306621,740303
7834,2022-06-14,W,467146,345831,812977
7835,2022-06-15,W,435538,338852,774390
7836,2022-06-16,W,441821,351622,793443
7837,2022-06-17,W,438575,356445,795020
7838,2022-06-18,A,316980,307051,624031
7839,2022-06-19,U,227181,226033,453214
7840,2022-06-20,W,365955,257700,623655
7841,2022-06-21,W,427588,321100,748688
7842,2022-06-22,W,444712,335641,780353
7843,2022-06-23,W,442860,345391,788251
7844,2022-06-24,W,429666,353308,782974
7845,2022-06-25,A,276951,259318,536269
7846,2022-06-26,U,228786,301320,530106
7847,2022-06-27,W,416606,298347,714953
7848,2022-06-28,W,445097,348827,793924
7849,2022-06-29,W,448310,350300,798610
7850,2022-06-30,W,434307,354302,788609
7851,2022-07-01,W,427111,319073,746184
7852,2022-07-02,A,314971,271980,586951
7853,2022-07-03,U,234889,221003,455892
7854,2022-07-04,U,201272,158486,359758
7855,2022-07-05,W,400714,283797,684511
7856,2022-07-06,W,438241,315347,753588
7857,2022-07-07,W,444168,331132,775300
7858,2022-07-08,W,414527,323371,737898
7859,2022-07-09,A,314661,288100,602761
7860,2022-07-10,U,228764,208566,437330
7861,2022-07-11,W,411177,289480,700657
7862,2022-07-12,W,460573,351612,812185
7863,2022-07-13,W,462243,357923,820166
7864,2022-07-14,W,459272,364927,824199
7865,2022-07-15,W,385035,307877,692912
7866,2022-07-16,A,306271,295499,601770
7867,2022-07-17,U,212995,208264,421259
7868,2022-07-18,W,432780,299248,732028
7869,2022-07-19,W,453338,335621,788959
7870,2022-07-20,W,455439,338205,793644
7871,2022-07-21,W,445763,342598,788361
7872,2022-07-22,W,426586,323821,750407
7873,2022-07-23,A,275396,265291,540687
7874,2022-07-24,U,209703,202481,412184
7875,2022-07-25,W,423680,314719,738399
7876,2022-07-26,W,460649,352662,813311
