,service_date,day_type,bus,rail_boardings,total_rides
6720,2019-05-27,U,298987,256757,555744
6721,2019-05-28,W,769069,694292,1463361
6722,2019-05-29,W,791059,717681,1508740
6723,2019-05-30,W,792091,735508,1527599
6724,2019-05-31,W,817633,738322,1555955
6725,2019-06-01,A,473204,379044,852248
6726,2019-06-02,U,370049,319334,689383
6727,2019-06-03,W,814607,731571,1546178
6728,2019-06-04,W,797511,749759,1547270
6729,2019-06-05,W,817943,764911,1582854
6730,2019-06-06,W,819351,773638,1592989
6731,2019-06-07,W,797917,760907,1558824
6732,2019-06-08,A,517706,469189,986895
6733,2019-06-09,U,372952,329388,702340
6734,2019-06-10,W,787528,717811,1505339
6735,2019-06-11,W,812806,748133,1560939
6736,2019-06-12,W,768907,722333,1491240
6737,2019-06-13,W,784003,758006,1542009
6738,2019-06-14,W,786956,769162,1556118
6739,2019-06-15,A,447116,419997,867113
6740,2019-06-16,U,347416,319752,667168
6741,2019-06-17,W,739714,684609,1424323
6742,2019-06-18,W,783381,747919,1531300
6743,2019-06-19,W,762852,735207,1498059
6744,2019-06-20,W,754094,755009,1509103
6745,2019-06-21,W,741691,748258,1489949
6746,2019-06-22,A,485555,468890,954445
6747,2019-06-23,U,372216,314345,686561
6748,2019-06-24,W,713826,694599,1408425
6749,2019-06-25,W,790945,756023,1546968
6750,2019-06-26,W,778502,758880,1537382
6751,2019-06-27,W,763256,757999,1521255
6752,2019-06-28,W,742317,717591,1459908
6753,2019-06-29,A,507082,438017,945099
6754,2019-06-30,U,342891,473462,816353
6755,2019-07-01,W,751938,691817,1443755
6756,2019-07-02,W,732483,698347,1430830
6757,2019-07-03,W,761825,694945,1456770
6758,2019-07-04,U,386135,354474,740609
6759,2019-07-05,W,593204,492198,1085402
6760,2019-07-06,A,464539,390851,855390
6761,2019-07-07,U,365003,328344,693347
6762,2019-07-08,W,738529,696647,1435176
6763,2019-07-09,W,760765,733255,1494020
6764,2019-07-10,W,750223,735504,1485727
6765,2019-07-11,W,761712,767177,1528889
6766,2019-07-12,W,738700,777202,1515902
6767,2019-07-13,A,496000,471671,967671
6768,2019-07-14,U,386786,362994,749780
6769,2019-07-15,W,733408,723684,1457092
6770,2019-07-16,W,736299,746731,1483030
6771,2019-07-17,W,751727,751160,1502887
6772,2019-07-18,W,681127,699545,1380672
6773,2019-07-19,W,700392,721558,1421950
6774,2019-07-20,A,466646,419897,886543
